City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Taoudenni,ML,22.6783,-3.9836,94.66,7,75,4.81,broken clouds
259,Dorchester,US,33.1002,-80.3831,84.22,54,0,8.05,clear sky
260,Alghero,IT,40.5589,8.3181,62.69,94,0,1.14,clear sky
261,Ust-Koksa,RU,50.2696,85.6108,53.35,59,4,1.54,clear sky
262,Bodden Town,KY,19.2833,-81.25,84.0,72,58,1.99,broken clouds
263,Porto Novo,BJ,6.4965,2.6036,84.02,82,96,11.3,overcast clouds
264,Tura,IN,25.5198,90.2201,67.06,94,40,5.39,scattered clouds
265,Epe,NG,6.5841,3.9834,79.18,86,99,7.0,overcast clouds
266,San Cristobal,VE,7.7669,-72.225,69.62,89,100,3.91,overcast clouds
267,Quelimane,MZ,-17.8786,36.8883,65.77,91,1,1.86,clear sky
268,Natal,BR,-5.795,-35.2094,77.65,100,20,3.44,few clouds
269,Rudnogorsk,RU,57.2639,103.7519,56.98,80,62,6.44,broken clouds
270,Maldonado,UY,-34.6667,-54.9167,55.22,72,83,10.83,broken clouds
271,Rantepao,ID,-2.9701,119.8978,68.43,95,98,1.99,overcast clouds
272,Marzuq,YE,14.4,46.4667,72.03,27,63,2.84,broken clouds
273,Caranavi,BO,-15.8167,-67.55,57.47,82,97,0.13,overcast clouds
274,Katsina,NG,12.9894,7.6006,85.08,11,2,7.78,clear sky
275,Sampit,ID,-2.5333,112.95,74.89,96,53,2.21,moderate rain
276,Luangwa,ZM,-15.6167,30.4167,61.07,85,0,2.91,clear sky
277,Touzim,CZ,50.0605,12.9851,54.63,77,11,2.26,few clouds
278,Yankton,US,42.8711,-97.3973,80.85,34,0,10.36,clear sky
279,Esso,RU,55.9333,158.7,38.66,100,88,2.73,overcast clouds
280,La Ronge,CA,55.1001,-105.2842,49.77,51,98,6.67,overcast clouds
281,Lagoa,PT,39.05,-27.9833,60.15,94,70,19.44,light rain
282,Pochutla,MX,15.7432,-96.4661,87.82,46,71,8.66,broken clouds
283,Port Hardy,CA,50.6996,-127.4199,45.9,91,100,13.76,moderate rain
284,Lamu,KE,-2.2717,40.902,77.22,81,58,12.19,broken clouds
285,Qinzhou,CN,21.95,108.6167,71.55,90,94,4.59,overcast clouds
286,Rio Grande,BR,-32.035,-52.0986,54.95,67,55,19.73,broken clouds
287,Faya,SA,18.3851,42.4509,66.51,21,6,7.27,clear sky
288,Bathsheba,BB,13.2167,-59.5167,79.97,74,92,12.77,overcast clouds
289,Padang,ID,-0.9492,100.3543,69.85,73,66,4.56,broken clouds
290,Sangueya,GN,10.7,-14.3667,78.94,88,15,3.96,few clouds
291,Broome,US,42.2506,-75.833,62.71,50,100,3.44,overcast clouds
292,El Copey,CO,10.1503,-73.9614,78.26,90,97,5.32,overcast clouds
293,Cukai,MY,4.25,103.4167,76.89,90,96,3.31,overcast clouds
294,Erzin,TR,36.9559,36.2,63.12,82,0,1.12,clear sky
295,Pevek,RU,69.7008,170.3133,32.38,99,100,3.06,light snow
296,Kysyl-Syr,RU,63.8986,122.7617,45.09,62,15,10.0,few clouds
297,Prabumulih,ID,-3.45,104.25,73.29,99,45,2.53,scattered clouds
298,Chara,RU,56.9064,118.2631,44.24,90,100,2.91,light rain
299,Inhambane,MZ,-23.865,35.3833,69.71,82,10,3.94,clear sky
300,Aksha,RU,50.2814,113.2867,57.36,40,51,3.85,broken clouds
301,Quatre Cocos,MU,-20.2078,57.7625,75.31,68,38,14.7,scattered clouds
302,Nguruka,TZ,-5.1092,31.0419,64.36,79,97,2.89,overcast clouds
303,Biak,ID,-0.9131,122.8766,77.54,86,98,3.94,overcast clouds
304,Plainview,US,40.7765,-73.4673,70.47,55,0,12.66,clear sky
305,Ahipara,NZ,-35.1667,173.1667,65.91,92,100,15.28,light rain
306,Tautira,PF,-17.7333,-149.15,80.28,73,100,11.79,overcast clouds
307,Aykhal,RU,66.0,111.5,39.34,99,100,0.51,moderate rain
308,Senanga,ZM,-16.1167,23.2667,62.96,59,69,4.85,broken clouds
309,Klaksvik,FO,62.2266,-6.589,47.32,94,65,15.26,broken clouds
310,Vicuna,CL,-30.0319,-70.7081,70.77,48,61,3.65,broken clouds
311,San Jose,US,37.3394,-121.895,94.69,24,40,14.97,scattered clouds
312,Bengkulu,ID,-3.8004,102.2655,75.24,88,15,4.59,few clouds
313,Viedma,AR,-40.8135,-62.9967,46.27,55,95,11.5,overcast clouds
314,Ukiah,US,39.1502,-123.2078,90.45,47,70,7.0,broken clouds
315,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.24,65,0,3.44,clear sky
316,Key West,US,24.5557,-81.7826,84.99,66,58,4.7,broken clouds
317,Ketchikan,US,55.3422,-131.6461,49.59,81,100,3.24,light rain
318,Bad Hall,AT,48.0383,14.2077,54.66,49,9,3.91,clear sky
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.84,41,0,16.28,clear sky
320,Cayenne,GF,4.9333,-52.3333,82.09,1,75,3.44,broken clouds
321,Priyutnoye,RU,46.1011,43.5072,56.61,77,89,9.86,overcast clouds
322,Nanzhang,CN,31.7765,111.8386,62.22,89,99,0.81,overcast clouds
323,Anqiu,CN,36.4342,119.1925,73.89,32,100,7.58,overcast clouds
324,Derzhavinsk,KZ,51.1,66.3167,50.43,73,53,9.98,broken clouds
325,Zaraza,VE,9.3503,-65.3245,85.14,50,97,4.43,overcast clouds
326,Mauraro,PH,13.1494,123.5953,78.24,89,100,4.32,overcast clouds
327,Saint-Francois,FR,46.4154,3.9054,67.44,73,0,2.3,clear sky
328,Sisimiut,GL,66.9395,-53.6735,40.53,54,0,8.63,clear sky
329,Severo-Kurilsk,RU,50.6789,156.125,46.17,84,84,4.09,broken clouds
330,Yumen,CN,40.2833,97.2,62.26,36,76,7.25,broken clouds
331,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.25,65,79,4.81,broken clouds
332,Hailar,CN,49.2,119.7,56.75,59,9,6.46,clear sky
333,Rorvik,NO,64.8621,11.2373,45.88,83,98,4.18,overcast clouds
334,Peringat,MY,6.0333,102.2833,75.07,95,82,3.09,light rain
335,Seymchan,RU,62.8833,152.4333,43.56,58,34,6.15,scattered clouds
336,Dutlwe,BW,-23.9833,23.9,57.58,54,1,8.99,clear sky
337,Oussouye,SN,12.485,-16.5469,76.32,84,6,10.87,clear sky
338,Novoselitskoye,RU,44.7508,43.4369,52.97,88,25,5.21,scattered clouds
339,Kirakira,SB,-10.4544,161.9205,85.1,68,1,3.4,clear sky
340,Lufilufi,WS,-13.8745,-171.5986,81.57,79,67,17.65,light rain
341,La Asuncion,VE,11.0333,-63.8628,79.47,78,100,18.5,overcast clouds
342,Rosario Do Sul,BR,-30.2583,-54.9142,51.71,80,54,11.32,broken clouds
343,Sao Filipe,CV,14.8961,-24.4956,76.23,68,98,5.41,overcast clouds
344,Lima,PE,-12.0432,-77.0282,66.54,75,67,6.44,broken clouds
